1	2	3	4	5	6	7	8
0.0599999987	0	0.099999994	0	0	0	1	0.00159999996
0.099999994	0	0.099999994	0	0	0	1	0.00159999996
0.140000001	0	0.099999994	0	0	0	1	0.00159999996
0.179999992	0	0.099999994	0	0	0	1	0.00159999996
0.219999999	0	0.099999994	0	0	0	1	0.00159999996
0.25999999	0	0.099999994	0	0	0	1	0.00159999996
0.299999982	0	0.099999994	0	0	0	1	0.00159999996
0.340000004	0	0.099999994	0	0	0	1	0.00159999996
0.379999995	0	0.099999994	0	0	0	1	0.00159999996
0.419999987	0	0.099999994	0	0	0	1	0.00159999996
0.459999979	0	0.099999994	0	0	0	1	0.00159999996
0.5	0	0.099999994	0	0	0	1	0.00159999996
0.539999962	0	0.099999994	0	0	0	1	0.00159999996
0.579999983	0	0.099999994	0	0	0	1	0.00159999996
0.620000005	0	0.099999994	0	0	0	1	0.00159999996
0.659999967	0	0.099999994	0	0	0	1	0.00159999996
0.699999988	0	0.099999994	0	0	0	1	0.00159999996
0.74000001	0	0.099999994	0	0	0	1	0.00159999996
0.779999971	0	0.099999994	0	0	0	1	0.00159999996
0.819999993	0	0.099999994	0	0	0	1	0.00159999996
0.859999955	0	0.099999994	0	0	0	1	0.00159999996
0.899999976	0	0.099999994	0	0	0	1	0.00159999996
0.939999998	0	0.099999994	0	0	0	1	0.00159999996
0.979999959	0	0.099999994	0	0	0	1	0.00159999996
0.0199999996	0	0.140000001	0	0	0	1	0.00159999996
0.0599999987	0	0.140000001	0	0	0	1	0.00159999996
0.099999994	0	0.140000001	0	0	0	1	0.00159999996
0.140000001	0	0.140000001	0	0	0	1	0.00159999996
0.179999992	0	0.140000001	0	0	0	1	0.00159999996
0.219999999	0	0.140000001	0	0	0	1	0.00159999996
0.25999999	0	0.140000001	0	0	0	1	0.00159999996
0.299999982	0	0.140000001	0	0	0	1	0.00159999996
0.340000004	0	0.140000001	0	0	0	1	0.00159999996
0.379999995	0	0.140000001	0	0	0	1	0.00159999996
0.419999987	0	0.140000001	0	0	0	1	0.00159999996
0.459999979	0	0.140000001	0	0	0	1	0.00159999996
0.5	0	0.140000001	0	0	0	1	0.00159999996
0.539999962	0	0.140000001	0	0	0	1	0.00159999996
0.579999983	0	0.140000001	0	0	0	1	0.00159999996
0.620000005	0	0.140000001	0	0	0	1	0.00159999996
0.659999967	0	0.140000001	0	0	0	1	0.00159999996
0.699999988	0	0.140000001	0	0	0	1	0.00159999996
0.74000001	0	0.140000001	0	0	0	1	0.00159999996
0.779999971	0	0.140000001	0	0	0	1	0.00159999996
0.819999993	0	0.140000001	0	0	0	1	0.00159999996
0.859999955	0	0.140000001	0	0	0	1	0.00159999996
0.899999976	0	0.140000001	0	0	0	1	0.00159999996
0.939999998	0	0.140000001	0	0	0	1	0.00159999996
0.979999959	0	0.140000001	0	0	0	1	0.00159999996
0.0199999996	0	0.179999992	0	0	0	1	0.00159999996
0.0599999987	0	0.179999992	0	0	0	1	0.00159999996
0.099999994	0	0.179999992	0	0	0	1	0.00159999996
0.140000001	0	0.179999992	0	0	0	1	0.00159999996
0.179999992	0	0.179999992	0	0	0	1	0.00159999996
0.219999999	0	0.179999992	0	0	0	1	0.00159999996
0.25999999	0	0.179999992	0	0	0	1	0.00159999996
0.299999982	0	0.179999992	0	0	0	1	0.00159999996
0.340000004	0	0.179999992	0	0	0	1	0.00159999996
0.379999995	0	0.179999992	0	0	0	1	0.00159999996
0.419999987	0	0.179999992	0	0	0	1	0.00159999996
0.459999979	0	0.179999992	0	0	0	1	0.00159999996
0.5	0	0.179999992	0	0	0	1	0.00159999996
0.539999962	0	0.179999992	0	0	0	1	0.00159999996
0.579999983	0	0.179999992	0	0	0	1	0.00159999996
0.620000005	0	0.179999992	0	0	0	1	0.00159999996
0.659999967	0	0.179999992	0	0	0	1	0.00159999996
0.699999988	0	0.179999992	0	0	0	1	0.00159999996
0.74000001	0	0.179999992	0	0	0	1	0.00159999996
0.779999971	0	0.179999992	0	0	0	1	0.00159999996
0.819999993	0	0.179999992	0	0	0	1	0.00159999996
0.859999955	0	0.179999992	0	0	0	1	0.00159999996
0.899999976	0	0.179999992	0	0	0	1	0.00159999996
0.939999998	0	0.179999992	0	0	0	1	0.00159999996
0.979999959	0	0.179999992	0	0	0	1	0.00159999996
0.0199999996	0	0.219999999	0	0	0	1	0.00159999996
0.0599999987	0	0.219999999	0	0	0	1	0.00159999996
0.099999994	0	0.219999999	0	0	0	1	0.00159999996
0.140000001	0	0.219999999	0	0	0	1	0.00159999996
0.179999992	0	0.219999999	0	0	0	1	0.00159999996
0.219999999	0	0.219999999	0	0	0	1	0.00159999996
0.25999999	0	0.219999999	0	0	0	1	0.00159999996
0.299999982	0	0.219999999	0	0	0	1	0.00159999996
0.340000004	0	0.219999999	0	0	0	1	0.00159999996
0.379999995	0	0.219999999	0	0	0	1	0.00159999996
0.419999987	0	0.219999999	0	0	0	1	0.00159999996
0.459999979	0	0.219999999	0	0	0	1	0.00159999996
0.5	0	0.219999999	0	0	0	1	0.00159999996
0.539999962	0	0.219999999	0	0	0	1	0.00159999996
0.579999983	0	0.219999999	0	0	0	1	0.00159999996
0.620000005	0	0.219999999	0	0	0	1	0.00159999996
0.659999967	0	0.219999999	0	0	0	1	0.00159999996
0.699999988	0	0.219999999	0	0	0	1	0.00159999996
0.74000001	0	0.219999999	0	0	0	1	0.00159999996
0.779999971	0	0.219999999	0	0	0	1	0.00159999996
0.819999993	0	0.219999999	0	0	0	1	0.00159999996
0.859999955	0	0.219999999	0	0	0	1	0.00159999996
0.899999976	0	0.219999999	0	0	0	1	0.00159999996
0.939999998	0	0.219999999	0	0	0	1	0.00159999996
0.979999959	0	0.219999999	0	0	0	1	0.00159999996
0.0199999996	0	0.25999999	0	0	0	1	0.00159999996
0.0599999987	0	0.25999999	0	0	0	1	0.00159999996
0.099999994	0	0.25999999	0	0	0	1	0.00159999996
0.140000001	0	0.25999999	0	0	0	1	0.00159999996
0.179999992	0	0.25999999	0	0	0	1	0.00159999996
0.219999999	0	0.25999999	0	0	0	1	0.00159999996
0.25999999	0	0.25999999	0	0	0	1	0.00159999996
0.299999982	0	0.25999999	0	0	0	1	0.00159999996
0.340000004	0	0.25999999	0	0	0	1	0.00159999996
0.379999995	0	0.25999999	0	0	0	1	0.00159999996
0.419999987	0	0.25999999	0	0	0	1	0.00159999996
0.459999979	0	0.25999999	0	0	0	1	0.00159999996
0.5	0	0.25999999	0	0	0	1	0.00159999996
0.539999962	0	0.25999999	0	0	0	1	0.00159999996
0.579999983	0	0.25999999	0	0	0	1	0.00159999996
0.620000005	0	0.25999999	0	0	0	1	0.00159999996
0.659999967	0	0.25999999	0	0	0	1	0.00159999996
0.699999988	0	0.25999999	0	0	0	1	0.00159999996
0.74000001	0	0.25999999	0	0	0	1	0.00159999996
0.779999971	0	0.25999999	0	0	0	1	0.00159999996
0.819999993	0	0.25999999	0	0	0	1	0.00159999996
0.859999955	0	0.25999999	0	0	0	1	0.00159999996
0.899999976	0	0.25999999	0	0	0	1	0.00159999996
0.939999998	0	0.25999999	0	0	0	1	0.00159999996
0.979999959	0	0.25999999	0	0	0	1	0.00159999996
0.0199999996	0	0.299999982	0	0	0	1	0.00159999996
0.0599999987	0	0.299999982	0	0	0	1	0.00159999996
0.099999994	0	0.299999982	0	0	0	1	0.00159999996
0.140000001	0	0.299999982	0	0	0	1	0.00159999996
0.179999992	0	0.299999982	0	0	0	1	0.00159999996
0.219999999	0	0.299999982	0	0	0	1	0.00159999996
0.25999999	0	0.299999982	0	0	0	1	0.00159999996
0.299999982	0	0.299999982	0	0	0	1	0.00159999996
0.340000004	0	0.299999982	0	0	0	1	0.00159999996
0.379999995	0	0.299999982	0	0	0	1	0.00159999996
0.419999987	0	0.299999982	0	0	0	1	0.00159999996
0.459999979	0	0.299999982	0	0	0	1	0.00159999996
0.5	0	0.299999982	0	0	0	1	0.00159999996
0.539999962	0	0.299999982	0	0	0	1	0.00159999996
0.579999983	0	0.299999982	0	0	0	1	0.00159999996
0.620000005	0	0.299999982	0	0	0	1	0.00159999996
0.659999967	0	0.299999982	0	0	0	1	0.00159999996
0.699999988	0	0.299999982	0	0	0	1	0.00159999996
0.74000001	0	0.299999982	0	0	0	1	0.00159999996
0.779999971	0	0.299999982	0	0	0	1	0.00159999996
0.819999993	0	0.299999982	0	0	0	1	0.00159999996
0.859999955	0	0.299999982	0	0	0	1	0.00159999996
0.899999976	0	0.299999982	0	0	0	1	0.00159999996
0.939999998	0	0.299999982	0	0	0	1	0.00159999996
0.979999959	0	0.299999982	0	0	0	1	0.00159999996
0.0199999996	0	0.340000004	0	0	0	1	0.00159999996
0.0599999987	0	0.340000004	0	0	0	1	0.00159999996
0.099999994	0	0.340000004	0	0	0	1	0.00159999996
0.140000001	0	0.340000004	0	0	0	1	0.00159999996
0.179999992	0	0.340000004	0	0	0	1	0.00159999996
0.219999999	0	0.340000004	0	0	0	1	0.00159999996
0.25999999	0	0.340000004	0	0	0	1	0.00159999996
0.299999982	0	0.340000004	0	0	0	1	0.00159999996
0.340000004	0	0.340000004	0	0	0	1	0.00159999996
0.379999995	0	0.340000004	0	0	0	1	0.00159999996
0.419999987	0	0.340000004	0	0	0	1	0.00159999996
0.459999979	0	0.340000004	0	0	0	1	0.00159999996
0.5	0	0.340000004	0	0	0	1	0.00159999996
0.539999962	0	0.340000004	0	0	0	1	0.00159999996
0.579999983	0	0.340000004	0	0	0	1	0.00159999996
0.620000005	0	0.340000004	0	0	0	1	0.00159999996
0.659999967	0	0.340000004	0	0	0	1	0.00159999996
0.699999988	0	0.340000004	0	0	0	1	0.00159999996
0.74000001	0	0.340000004	0	0	0	1	0.00159999996
0.779999971	0	0.340000004	0	0	0	1	0.00159999996
0.819999993	0	0.340000004	0	0	0	1	0.00159999996
0.859999955	0	0.340000004	0	0	0	1	0.00159999996
0.899999976	0	0.340000004	0	0	0	1	0.00159999996
0.939999998	0	0.340000004	0	0	0	1	0.00159999996
0.979999959	0	0.340000004	0	0	0	1	0.00159999996
0.0199999996	0	0.379999995	0	0	0	1	0.00159999996
0.0599999987	0	0.379999995	0	0	0	1	0.00159999996
0.099999994	0	0.379999995	0	0	0	1	0.00159999996
0.140000001	0	0.379999995	0	0	0	1	0.00159999996
0.179999992	0	0.379999995	0	0	0	1	0.00159999996
0.219999999	0	0.379999995	0	0	0	1	0.00159999996
0.25999999	0	0.379999995	0	0	0	1	0.00159999996
0.299999982	0	0.379999995	0	0	0	1	0.00159999996
0.340000004	0	0.379999995	0	0	0	1	0.00159999996
0.379999995	0	0.379999995	0	0	0	1	0.00159999996
0.419999987	0	0.379999995	0	0	0	1	0.00159999996
0.459999979	0	0.379999995	0	0	0	1	0.00159999996
0.5	0	0.379999995	0	0	0	1	0.00159999996
0.539999962	0	0.379999995	0	0	0	1	0.00159999996
0.579999983	0	0.379999995	0	0	0	1	0.00159999996
0.620000005	0	0.379999995	0	0	0	1	0.00159999996
0.659999967	0	0.379999995	0	0	0	1	0.00159999996
0.699999988	0	0.379999995	0	0	0	1	0.00159999996
0.74000001	0	0.379999995	0	0	0	1	0.00159999996
0.779999971	0	0.379999995	0	0	0	1	0.00159999996
0.819999993	0	0.379999995	0	0	0	1	0.00159999996
0.859999955	0	0.379999995	0	0	0	1	0.00159999996
0.899999976	0	0.379999995	0	0	0	1	0.00159999996
0.939999998	0	0.379999995	0	0	0	1	0.00159999996
0.979999959	0	0.379999995	0	0	0	1	0.00159999996
0.0199999996	0	0.419999987	0	0	0	1	0.00159999996
0.0599999987	0	0.419999987	0	0	0	1	0.00159999996
0.099999994	0	0.419999987	0	0	0	1	0.00159999996
0.140000001	0	0.419999987	0	0	0	1	0.00159999996
0.179999992	0	0.419999987	0	0	0	1	0.00159999996
0.219999999	0	0.419999987	0	0	0	1	0.00159999996
0.25999999	0	0.419999987	0	0	0	1	0.00159999996
0.299999982	0	0.419999987	0	0	0	1	0.00159999996
0.340000004	0	0.419999987	0	0	0	1	0.00159999996
0.379999995	0	0.419999987	0	0	0	1	0.00159999996
0.419999987	0	0.419999987	0	0	0	1	0.00159999996
0.459999979	0	0.419999987	0	0	0	1	0.00159999996
0.5	0	0.419999987	0	0	0	1	0.00159999996
0.539999962	0	0.419999987	0	0	0	1	0.00159999996
0.579999983	0	0.419999987	0	0	0	1	0.00159999996
0.620000005	0	0.419999987	0	0	0	1	0.00159999996
0.659999967	0	0.419999987	0	0	0	1	0.00159999996
0.699999988	0	0.419999987	0	0	0	1	0.00159999996
0.74000001	0	0.419999987	0	0	0	1	0.00159999996
0.779999971	0	0.419999987	0	0	0	1	0.00159999996
0.819999993	0	0.419999987	0	0	0	1	0.00159999996
0.859999955	0	0.419999987	0	0	0	1	0.00159999996
0.899999976	0	0.419999987	0	0	0	1	0.00159999996
0.939999998	0	0.419999987	0	0	0	1	0.00159999996
0.979999959	0	0.419999987	0	0	0	1	0.00159999996
0.0199999996	0	0.459999979	0	0	0	1	0.00159999996
0.0599999987	0	0.459999979	0	0	0	1	0.00159999996
0.099999994	0	0.459999979	0	0	0	1	0.00159999996
0.140000001	0	0.459999979	0	0	0	1	0.00159999996
0.179999992	0	0.459999979	0	0	0	1	0.00159999996
0.219999999	0	0.459999979	0	0	0	1	0.00159999996
0.25999999	0	0.459999979	0	0	0	1	0.00159999996
0.299999982	0	0.459999979	0	0	0	1	0.00159999996
0.340000004	0	0.459999979	0	0	0	1	0.00159999996
0.379999995	0	0.459999979	0	0	0	1	0.00159999996
0.419999987	0	0.459999979	0	0	0	1	0.00159999996
0.459999979	0	0.459999979	0	0	0	1	0.00159999996
0.5	0	0.459999979	0	0	0	1	0.00159999996
0.539999962	0	0.459999979	0	0	0	1	0.00159999996
0.579999983	0	0.459999979	0	0	0	1	0.00159999996
0.620000005	0	0.459999979	0	0	0	1	0.00159999996
0.659999967	0	0.459999979	0	0	0	1	0.00159999996
0.699999988	0	0.459999979	0	0	0	1	0.00159999996
0.74000001	0	0.459999979	0	0	0	1	0.00159999996
0.779999971	0	0.459999979	0	0	0	1	0.00159999996
0.819999993	0	0.459999979	0	0	0	1	0.00159999996
0.859999955	0	0.459999979	0	0	0	1	0.00159999996
0.899999976	0	0.459999979	0	0	0	1	0.00159999996
0.939999998	0	0.459999979	0	0	0	1	0.00159999996
0.979999959	0	0.459999979	0	0	0	1	0.00159999996
0.0199999996	0	0.5	0	0	0	1	0.00159999996
0.0599999987	0	0.5	0	0	0	1	0.00159999996
0.099999994	0	0.5	0	0	0	1	0.00159999996
0.140000001	0	0.5	0	0	0	1	0.00159999996
0.179999992	0	0.5	0	0	0	1	0.00159999996
0.219999999	0	0.5	0	0	0	1	0.00159999996
0.25999999	0	0.5	0	0	0	1	0.00159999996
0.299999982	0	0.5	0	0	0	1	0.00159999996
0.340000004	0	0.5	0	0	0	1	0.00159999996
0.379999995	0	0.5	0	0	0	1	0.00159999996
0.419999987	0	0.5	0	0	0	1	0.00159999996
0.459999979	0	0.5	0	0	0	1	0.00159999996
0.5	0	0.5	0	0	0	1	0.00159999996
0.539999962	0	0.5	0	0	0	1	0.00159999996
0.579999983	0	0.5	0	0	0	1	0.00159999996
0.620000005	0	0.5	0	0	0	1	0.00159999996
0.659999967	0	0.5	0	0	0	1	0.00159999996
0.699999988	0	0.5	0	0	0	1	0.00159999996
0.74000001	0	0.5	0	0	0	1	0.00159999996
0.779999971	0	0.5	0	0	0	1	0.00159999996
0.819999993	0	0.5	0	0	0	1	0.00159999996
0.859999955	0	0.5	0	0	0	1	0.00159999996
0.899999976	0	0.5	0	0	0	1	0.00159999996
0.939999998	0	0.5	0	0	0	1	0.00159999996
0.979999959	0	0.5	0	0	0	1	0.00159999996
0.0199999996	0	0.539999962	0	0	0	1	0.00159999996
0.0599999987	0	0.539999962	0	0	0	1	0.00159999996
0.099999994	0	0.539999962	0	0	0	1	0.00159999996
0.140000001	0	0.539999962	0	0	0	1	0.00159999996
0.179999992	0	0.539999962	0	0	0	1	0.00159999996
0.219999999	0	0.539999962	0	0	0	1	0.00159999996
0.25999999	0	0.539999962	0	0	0	1	0.00159999996
0.299999982	0	0.539999962	0	0	0	1	0.00159999996
0.340000004	0	0.539999962	0	0	0	1	0.00159999996
0.379999995	0	0.539999962	0	0	0	1	0.00159999996
0.419999987	0	0.539999962	0	0	0	1	0.00159999996
0.459999979	0	0.539999962	0	0	0	1	0.00159999996
0.5	0	0.539999962	0	0	0	1	0.00159999996
0.539999962	0	0.539999962	0	0	0	1	0.00159999996
0.579999983	0	0.539999962	0	0	0	1	0.00159999996
0.620000005	0	0.539999962	0	0	0	1	0.00159999996
0.659999967	0	0.539999962	0	0	0	1	0.00159999996
0.699999988	0	0.539999962	0	0	0	1	0.00159999996
0.74000001	0	0.539999962	0	0	0	1	0.00159999996
0.779999971	0	0.539999962	0	0	0	1	0.00159999996
0.819999993	0	0.539999962	0	0	0	1	0.00159999996
0.859999955	0	0.539999962	0	0	0	1	0.00159999996
0.899999976	0	0.539999962	0	0	0	1	0.00159999996
0.939999998	0	0.539999962	0	0	0	1	0.00159999996
0.979999959	0	0.539999962	0	0	0	1	0.00159999996
0.0199999996	0	0.579999983	0	0	0	1	0.00159999996
0.0599999987	0	0.579999983	0	0	0	1	0.00159999996
0.099999994	0	0.579999983	0	0	0	1	0.00159999996
0.140000001	0	0.579999983	0	0	0	1	0.00159999996
0.179999992	0	0.579999983	0	0	0	1	0.00159999996
0.219999999	0	0.579999983	0	0	0	1	0.00159999996
0.25999999	0	0.579999983	0	0	0	1	0.00159999996
0.299999982	0	0.579999983	0	0	0	1	0.00159999996
0.340000004	0	0.579999983	0	0	0	1	0.00159999996
0.379999995	0	0.579999983	0	0	0	1	0.00159999996
0.419999987	0	0.579999983	0	0	0	1	0.00159999996
0.459999979	0	0.579999983	0	0	0	1	0.00159999996
0.5	0	0.579999983	0	0	0	1	0.00159999996
0.539999962	0	0.579999983	0	0	0	1	0.00159999996
0.579999983	0	0.579999983	0	0	0	1	0.00159999996
0.620000005	0	0.579999983	0	0	0	1	0.00159999996
0.659999967	0	0.579999983	0	0	0	1	0.00159999996
0.699999988	0	0.579999983	0	0	0	1	0.00159999996
0.74000001	0	0.579999983	0	0	0	1	0.00159999996
0.779999971	0	0.579999983	0	0	0	1	0.00159999996
0.819999993	0	0.579999983	0	0	0	1	0.00159999996
0.859999955	0	0.579999983	0	0	0	1	0.00159999996
0.899999976	0	0.579999983	0	0	0	1	0.00159999996
0.939999998	0	0.579999983	0	0	0	1	0.00159999996
0.979999959	0	0.579999983	0	0	0	1	0.00159999996
0.0199999996	0	0.620000005	0	0	0	1	0.00159999996
0.0599999987	0	0.620000005	0	0	0	1	0.00159999996
0.099999994	0	0.620000005	0	0	0	1	0.00159999996
0.140000001	0	0.620000005	0	0	0	1	0.00159999996
0.179999992	0	0.620000005	0	0	0	1	0.00159999996
0.219999999	0	0.620000005	0	0	0	1	0.00159999996
0.25999999	0	0.620000005	0	0	0	1	0.00159999996
0.299999982	0	0.620000005	0	0	0	1	0.00159999996
0.340000004	0	0.620000005	0	0	0	1	0.00159999996
0.379999995	0	0.620000005	0	0	0	1	0.00159999996
0.419999987	0	0.620000005	0	0	0	1	0.00159999996
0.459999979	0	0.620000005	0	0	0	1	0.00159999996
0.5	0	0.620000005	0	0	0	1	0.00159999996
0.539999962	0	0.620000005	0	0	0	1	0.00159999996
0.579999983	0	0.620000005	0	0	0	1	0.00159999996
0.620000005	0	0.620000005	0	0	0	1	0.00159999996
0.659999967	0	0.620000005	0	0	0	1	0.00159999996
0.699999988	0	0.620000005	0	0	0	1	0.00159999996
0.74000001	0	0.620000005	0	0	0	1	0.00159999996
0.779999971	0	0.620000005	0	0	0	1	0.00159999996
0.819999993	0	0.620000005	0	0	0	1	0.00159999996
0.859999955	0	0.620000005	0	0	0	1	0.00159999996
0.899999976	0	0.620000005	0	0	0	1	0.00159999996
0.939999998	0	0.620000005	0	0	0	1	0.00159999996
0.979999959	0	0.620000005	0	0	0	1	0.00159999996
0.0199999996	0	0.659999967	0	0	0	1	0.00159999996
0.0599999987	0	0.659999967	0	0	0	1	0.00159999996
0.099999994	0	0.659999967	0	0	0	1	0.00159999996
0.140000001	0	0.659999967	0	0	0	1	0.00159999996
0.179999992	0	0.659999967	0	0	0	1	0.00159999996
0.219999999	0	0.659999967	0	0	0	1	0.00159999996
0.25999999	0	0.659999967	0	0	0	1	0.00159999996
0.299999982	0	0.659999967	0	0	0	1	0.00159999996
0.340000004	0	0.659999967	0	0	0	1	0.00159999996
0.379999995	0	0.659999967	0	0	0	1	0.00159999996
0.419999987	0	0.659999967	0	0	0	1	0.00159999996
0.459999979	0	0.659999967	0	0	0	1	0.00159999996
0.5	0	0.659999967	0	0	0	1	0.00159999996
0.539999962	0	0.659999967	0	0	0	1	0.00159999996
0.579999983	0	0.659999967	0	0	0	1	0.00159999996
0.620000005	0	0.659999967	0	0	0	1	0.00159999996
0.659999967	0	0.659999967	0	0	0	1	0.00159999996
0.699999988	0	0.659999967	0	0	0	1	0.00159999996
0.74000001	0	0.659999967	0	0	0	1	0.00159999996
0.779999971	0	0.659999967	0	0	0	1	0.00159999996
0.819999993	0	0.659999967	0	0	0	1	0.00159999996
0.859999955	0	0.659999967	0	0	0	1	0.00159999996
0.899999976	0	0.659999967	0	0	0	1	0.00159999996
0.939999998	0	0.659999967	0	0	0	1	0.00159999996
0.979999959	0	0.659999967	0	0	0	1	0.00159999996
0.0199999996	0	0.699999988	0	0	0	1	0.00159999996
0.0599999987	0	0.699999988	0	0	0	1	0.00159999996
0.099999994	0	0.699999988	0	0	0	1	0.00159999996
0.140000001	0	0.699999988	0	0	0	1	0.00159999996
0.179999992	0	0.699999988	0	0	0	1	0.00159999996
0.219999999	0	0.699999988	0	0	0	1	0.00159999996
0.25999999	0	0.699999988	0	0	0	1	0.00159999996
0.299999982	0	0.699999988	0	0	0	1	0.00159999996
0.340000004	0	0.699999988	0	0	0	1	0.00159999996
0.379999995	0	0.699999988	0	0	0	1	0.00159999996
0.419999987	0	0.699999988	0	0	0	1	0.00159999996
0.459999979	0	0.699999988	0	0	0	1	0.00159999996
0.5	0	0.699999988	0	0	0	1	0.00159999996
0.539999962	0	0.699999988	0	0	0	1	0.00159999996
0.579999983	0	0.699999988	0	0	0	1	0.00159999996
0.620000005	0	0.699999988	0	0	0	1	0.00159999996
0.659999967	0	0.699999988	0	0	0	1	0.00159999996
0.699999988	0	0.699999988	0	0	0	1	0.00159999996
0.74000001	0	0.699999988	0	0	0	1	0.00159999996
0.779999971	0	0.699999988	0	0	0	1	0.00159999996
0.819999993	0	0.699999988	0	0	0	1	0.00159999996
0.859999955	0	0.699999988	0	0	0	1	0.00159999996
0.899999976	0	0.699999988	0	0	0	1	0.00159999996
0.939999998	0	0.699999988	0	0	0	1	0.00159999996
0.979999959	0	0.699999988	0	0	0	1	0.00159999996
0.0199999996	0	0.74000001	0	0	0	1	0.00159999996
0.0599999987	0	0.74000001	0	0	0	1	0.00159999996
0.099999994	0	0.74000001	0	0	0	1	0.00159999996
0.140000001	0	0.74000001	0	0	0	1	0.00159999996
0.179999992	0	0.74000001	0	0	0	1	0.00159999996
0.219999999	0	0.74000001	0	0	0	1	0.00159999996
0.25999999	0	0.74000001	0	0	0	1	0.00159999996
0.299999982	0	0.74000001	0	0	0	1	0.00159999996
0.340000004	0	0.74000001	0	0	0	1	0.00159999996
0.379999995	0	0.74000001	0	0	0	1	0.00159999996
0.419999987	0	0.74000001	0	0	0	1	0.00159999996
0.459999979	0	0.74000001	0	0	0	1	0.00159999996
0.5	0	0.74000001	0	0	0	1	0.00159999996
0.539999962	0	0.74000001	0	0	0	1	0.00159999996
0.579999983	0	0.74000001	0	0	0	1	0.00159999996
0.620000005	0	0.74000001	0	0	0	1	0.00159999996
0.659999967	0	0.74000001	0	0	0	1	0.00159999996
0.699999988	0	0.74000001	0	0	0	1	0.00159999996
0.74000001	0	0.74000001	0	0	0	1	0.00159999996
0.779999971	0	0.74000001	0	0	0	1	0.00159999996
0.819999993	0	0.74000001	0	0	0	1	0.00159999996
0.859999955	0	0.74000001	0	0	0	1	0.00159999996
0.899999976	0	0.74000001	0	0	0	1	0.00159999996
0.939999998	0	0.74000001	0	0	0	1	0.00159999996
0.979999959	0	0.74000001	0	0	0	1	0.00159999996
0.0199999996	0	0.779999971	0	0	0	1	0.00159999996
0.0599999987	0	0.779999971	0	0	0	1	0.00159999996
0.099999994	0	0.779999971	0	0	0	1	0.00159999996
0.140000001	0	0.779999971	0	0	0	1	0.00159999996
0.179999992	0	0.779999971	0	0	0	1	0.00159999996
0.219999999	0	0.779999971	0	0	0	1	0.00159999996
